OBJECTID,FID_,id,site_name,continent,country,latitude,longitude,year_opera,year_shut_,main_mar_t,specific_m,link_to_do,influent_s,final_use,main_objec,reference_,wgs84,wgs84_X,wgs84_Y,RASTERVALU
450,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a56,950,"Equitable Bldg. – 34N3,4,5",North America,USA,45.520576,-122.67799,-9999,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Groundwater,Industrial,Other Benefits,"<a href='http://pubs.er.usgs.gov/publication/wsp1594C?currow=684.' target='_blank'>Price, D., D. H. Hart, and B. L. Foxworthy. 1965. Artificial Recharge in Oregon and Washington 1962. 1594-C. Water Supply Paper. U.S. Geological Survey. http://pubs.er.usg",-122.67799 45.520576,0,0,815.9286499
451,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a57,731,Kinchant Dam,Oceania,Australia,-21.1971234,148.893793,1977,-9999,In-Channel Modification,Check dam,<a href='https://inowas.com/mar-methods/recharge-dams/' target='_blank'>Recharge dams</a>,River water,Agricultural,Maximize Natural Storage,SunWater. 2011. Dams Potfolio. http://www.sunwater.com.au/management/asset-management/dam-operations.,148.893793 -21.1971234,0,0,388.1579895
452,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a58,316,Namsong,Asia,Korea,34.57321,126.912159,-9999,-9999,In-Channel Modification,Subsurface Dam,<a href='https://inowas.com/mar-methods/subsurface-dams/' target='_blank'>Subsurface dams</a>,Groundwater,Agricultural,no data,"<a href='https://www.jstage.jst.go.jp/article/jarq/45/1/45_1_51/_pdf/-char/en' target='_blank'>Ishida, S., T. Tsuchihara, S. Yoshimoto, and M. Imaizumi. 2011. Review: Sustainable Use of Groundwater with Underground Dams. JARQ 45 (1): 51 – 61.</a>",126.912159 34.57321,0,0,748.0626831
453,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a59,1135,Barrett AR site,North America,USA,45.947697,-118.421937,2014,-9999,Spreading Methods,Reverse Drainage,Reverse Drainage,River water,no data,Physical Aquifer Management,"<a href='http://wwbwc.org/aquifer-recharge-reports.html' target='_blank'>Patten, S., and J. Keller. 2015. Water Year 2014. Oregon Walla Walla Basin Aquifer Recharge Report. Milton-Freewater, OR: Walla Walla Basinn Watershed Council. http://wwbwc.org/aqui",-118.421937 45.947697,0,0,71.99533081
454,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a5a,764,CE Caatinga BS IV,South America,Brasil,-6.803995,-37.959114,-9999,-9999,In-Channel Modification,Subsurface Dam,<a href='https://inowas.com/mar-methods/subsurface-dams/' target='_blank'>Subsurface dams</a>,River water,Agricultural,Maximize Natural Storage,"<a href='http://revistas.aba-agroecologia.org.br/index.php/rbagroecologia/article/view/7092/5217' target='_blank'>Oliveira, A. K. C. de, M. S. L. da Silva, C. C. E. S. E. S. Mendonça, G. B. Ferreira, V. C. Chaves, and D. J. Silva. 2007. Avaliação qual",-44.763109,0,0,275.5066528
455,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a5b,580,Vergel,Europe,Spain,38.84,0,1985,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,River water,Agricultural,Ecological Benefits,"De la Orden Gomez, J.A., Diaz, J.M.M., 2003. LA RECARGA ARTIFICIAL EN EL ACUÍFERO DE VERGEL (ALICANTE) COMO TÉCNICA PALIATIVA DE LOS EFECTOS DE LA INTRUSIÓN MARINA Y SU EVALUACIÓN MEDIANTE MODELACIÓN MATEMÁTICA.",0 38.84,38.84,0,
456,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a5c,967,Wabash River - Indiana–American Water Company,North America,USA,39.476635,-87.418028,-9999,-9999,Induced Bank Filtration,Bank filtration,<a href='https://inowas.com/mar-methods/induced-bank-filtration/' target='_blank'>River/lake bank filtration</a><br><a href='https://inowas.com/mar-methods/dune-filtration/' target='_blank'>Dune filtration</a>,River water,no data,no data,"Weiss, W. J., E. J. Bouwer, R. Aboytes, M. W. LeChevallier, C. R. O’Melia, B. T. Le, and K. J. Schwab. 2005. Riverbank Filtration for Control of Microorganisms: Results from Field Monitoring. Water Research 39 (10): 1990–2001. doi:10.1016/j.watres.20",-87.418028 39.476635,39.476635,-87.418028,578.1166382
457,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a5d,946,The Dalles,North America,USA,45.597531,-121.181414,-9999,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,no data,Domestic,Physical Aquifer Management,"<a href='http://pubs.er.usgs.gov/publication/wsp1594C?currow=684.' target='_blank'>Price, D., D. H. Hart, and B. L. Foxworthy. 1965. Artificial Recharge in Oregon and Washington 1962. 1594-C. Water Supply Paper. U.S. Geological Survey. http://pubs.er.usg",-121.181414 45.597531,0,0,515.8186646
458,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a5e,254,Sri Aurobindo Ashram,Asia,India,28.539627,77.199708,2001,-9999,Rainwater and Run-off Harvesting,Rooftop Rainwater Harvesting,<a href='https://inowas.com/mar-methods/rooftop-rainwater-harvesting/' target='_blank'>Rooftop rainwater harvesting</a>,Storm water,Domestic,no data,"<a href='https://www.cseindia.org/sri-aurobindo-ashram-1988' target='_blank'>Centre for Science and Environment - CSE. 2014. Sri Aurobindo Ashram. Urban Rainwaterharvesting. https://www.cseindia.org/sri-aurobindo-ashram-1988 (accessed September 1, 2014).",77.199708 28.539627,28.539627,77.199708,261.2086792
459,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a5f,936,Deep run lagoon,North America,USA,40.385622,-74.309219,1992,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),River water,no data,no data,"Pucci, A. A. 1994. Artificial Recharge and Ground-Water Resources Evaluation Repults, Northern Coastal Plain of New Jersey. In Proceedings of the Focus Conference on Eastern Regional Ground Water, 489–504. Burlington, Vermont: NGWA. info.ngwa.org/GWOL/",-74.309219 40.385622,40.385622,-74.309219,639.166687
460,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a60,140,Zhaoyuan,Asia,China,37.380946,120.345108,2011,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Groundwater,Ecological,Physical Aquifer Management,"Zang, Y.-L., S.-J. Cai, and D. Wu. 2011. Research on ASR Method Shallow Recharge in Metal Mine of Shandong Peninsula (in Chinese: 胶东半岛金属矿区ASR 法浅层回灌技术研究). Mining R&D 31 (6): 85–87. doi:1005-2763(2011)06-0085-03.",120.345108 37.380946,0,0,200.5200043
461,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a61,599,river Oja,Europe,Spain,42.57,-2.91,1990,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),River water,Agricultural,no data,"Diaz, J.M.M., de la Orden Gomez, J.A., Geta, J.A.L., Campos, J.C.R., Gonzalez-Ramon, A., Machuca, M.M., 2002. Lessons from groundwater recharge projects in Spain in: Dillon, P. (Ed.), International symposium on artificial recharge of groundwater; Managem",-2.91 42.57,42.57,-2.91,271.9433289
462,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a62,1113,Declez Basin,North America,USA,34.031898,-117.500702,2004,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),Storm water,no data,no data,"<a href='http://www.nwri-usa.org/pdfs/WildermuthPresentationfinal.pdf' target='_blank'>Wildermuth, M., W. Wang, K. Manning, and B. Pak. 2011. Optimization of Supplemental Water Recharge Location and Magnitude to Balance Recharge and Discharge in the Chin",-117.500702 34.031898,0,0,59.77133179
463,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a63,678,Gully Winds,Oceania,Australia,-34.568604,138.7540464,1995,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,River water,Agricultural,Maximize Natural Storage,"<a href='http://webarchive.nla.gov.au/gov/20160615090454/http://archive.nwc.gov.au/library/waterlines/45' target='_blank'>GHD Pty. Ltd, and AGT Pty. Ltd. 2011. Feasibility of Managed Aquifer Recharge for Agriculture. 45. Waterlines Report Series. Canberr",138.7540464 -34.568604,0,0,12.48933315
464,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a64,336,Sur 2,Asia,Oman,22.461952,59.338049,1987,-9999,In-Channel Modification,Check dam,<a href='https://inowas.com/mar-methods/recharge-dams/' target='_blank'>Recharge dams</a>,River water,Agricultural,Physical Aquifer Management,"Abdalla, O. A. E., and A. S. Al-Rawahi. 2013. Groundwater Recharge Dams in Arid Areas as Tools for Aquifer Replenishment and Mitigating Seawater Intrusion: Example of AlKhod, Oman. Environmental Earth Sciences 69 (6): 1951–1962. doi:10.1007/s12665-012-",59.338049 22.461952,22.461952,59.338049,-16.52066612
465,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a65,883,ASR Pilot Study site,North America,USA,32.776973,-79.970003,-9999,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,no data,no data,no data,"<a href='https://pubs.usgs.gov/sir/2004/5046/pdf/sir2004-5046.pdf' target='_blank'>Petkewich, M. D., D. L. Parkhurst, K. J. Conlon, B. G. Campbell, and J. E. Mirecki. 2004. Hydrologic and Geochemical Evaluation of Aquifer Storage Recovery in the Santee L",-79.970003 32.776973,32.776973,-79.970003,
466,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a66,246,Rayal Cheruvu area,Asia,India,13.5078,79.375606,1994,-9999,In-Channel Modification,Check dam,<a href='https://inowas.com/mar-methods/recharge-dams/' target='_blank'>Recharge dams</a>,River water,Agricultural,Maximize Natural Storage,"Sankaranna, G. 2002. Impact of Water Harvesting Structures on Ground Water Development: A Study from Chittoor District, Andhra Pradesh, India. In Management of Aquifer Recharge for Sustainability: Proceedings of the 4th International Symposium on Artific",79.375606 13.5078,13.5078,79.375606,311.1099854
467,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a67,82,Xi'an,Asia,China,34.180459,108.92807,-9999,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage using wells,<a href='https://inowas.com/mar-methods/shallow-wells-shafts-and-pits-infiltration/' target='_blank'>Shallow well/shaft/pit infiltration</a>,Reclaimed wastewater,Ecological,Physical Aquifer Management,"Dong, Y., P. Zhao, and W. Zhou. 2011. Effect of Artificial Aquifer Recharge on Hydraulic Conductivity Using Single Injection Well. In 2011 International Symposium on Water Resource and Environmental Protection (ISWREP 2011), Xi’an, Shaanxi Province, Ch",108.92807 34.180459,0,0,86.19999695
468,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a68,1071,Grand Strand Water and Sewer Authority,North America,USA,33.782414,-79.024041,1997,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,River water,no data,no data,"<a href='http://www.asrforum.com/picturepages/OperASRUS052404.pdf' target='_blank'>Pyne, R. D. G. 2004. Known Operating ASR Systems in the United States (as of May 2004). ASR Systems LLC. http://www.asrforum.com/picturepages/OperASRUS052404.pdf</a>",-79.024041 33.782414,33.782414,-79.024041,
469,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a69,1010,City of Beaverton ASR Project,North America,USA,45.463481,-122.815834,1999,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Tap water,Domestic,Maximize Natural Storage,"Bouwer, H., and AWWA Research Foundation, eds. 2008. Design, Operation, and Maintenance for Sustainable Underground Storage Facilities. Denver, Colo. : [London]: Awwa Research Foundation : distributed by American Water Works Association ; distribut",-122.815834 45.463481,0,0,815.9286499
470,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a6a,798,Sítio Estação Ecológica UFMG,South America,Brasil,-19.88307,-43.975012,2008,-9999,Rainwater and Run-off Harvesting,Trenches,<a href='https://inowas.com/mar-methods/trenches/' target='_blank'>Trenches</a>,Storm water,Domestic,Physical Aquifer Management,"Caputo, Ú. K., P. M. Moura, N. Oliveira, and I. Aguiar. 2013. Trincheiras de infiltração instaladas em Belo Horizonte–Aspectos operacionais. In Anais do XX Simpósio Brasileiro de Recursos Hídricos. Bento Gonçalves, Brasil. http://www.abrh.org.br/",-63.858082,0,0,408.0066528
471,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a6b,492,C. Rodenhuis,Europe,Netherlands,51.936,4.775,1968,-9999,Induced Bank Filtration,Bank filtration,<a href='https://inowas.com/mar-methods/induced-bank-filtration/' target='_blank'>River/lake bank filtration</a><br><a href='https://inowas.com/mar-methods/dune-filtration/' target='_blank'>Dune filtration</a>,River water,Domestic,Water Quality Management,"Stuyfzand, P., Juhàsz-Holterman, M.A., de Lange, W., 2006. Riverbank Filtration in the The Netherlands: Well Fields, Clogging and Geochemical Reactions, in: Hubbs, S. (Ed.), Riverbank Filtration Hydrology. Springer The Netherlands, pp. 119-153.",4.775 51.936,51.936,4.775,
472,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a6c,533,Nieuwegein,Europe,Netherlands,52.032,5.094,1996,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,River water,Domestic,Water Quality Management,"Stuyfzand, P.J., Nienhuis, P., Antoniou, A., Zuurbier, K., 2012. Haalbaarheid van ondergrondse berging via A(S/T)R in Hollands kustduinen.",5.094 52.032,52.032,5.094,
473,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a6d,144,Shuanghuayuan Community,Asia,China,39.897832,116.447768,2004,-9999,Rainwater and Run-off Harvesting,Rooftop Rainwater Harvesting,<a href='https://inowas.com/mar-methods/rooftop-rainwater-harvesting/' target='_blank'>Rooftop rainwater harvesting</a>,Storm water,Ecological,Other Benefits,"Yan, J.-H. 2009. Urban rainwater harvesting and utilization of the Loess Plateau (in Chinese: 黄土高原城市雨水集蓄利用研究). Master thesis, Lanzhou, China: Gansu Agricultural University.",116.447768 39.897832,0,0,81.98867035
474,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a6e,603,Dösebacke,Europe,Sweden,56.6735,16.3169,-9999,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),River water,Domestic,Water Quality Management,"<a href='http://publications.lib.chalmers.se/records/fulltext/162972.pdf' target='_blank'>Florence Atubo, M.M., 2012. Microbiological Risk Analysis of Kungälv Drinking Water Treatment Plant, Department of Civil and Environmental Engineering. CHALMERS UN",16.3169 56.6735,56.6735,16.3169,
475,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a6f,637,Ixtapaluca (Parque Ejidal los Depósitos),North America,Mexico,19.324525,-98.843104,-9999,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),Storm water,Domestic,Maximize Natural Storage,Comisión de la cuenca de los ríos Amecameca y La Compañia. 2010. Prevención de inundaciones e infiltración de agua de lluvia. http://cuencavalledemexico.com/wp-content/uploads/2010/12/GEO-64-Prevención-Inundaciones.pdf.,-98.843104 19.324525,0,0,181.1126709
476,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a70,227,Lalpura (Koda Wala),Asia,India,27.264041,76.163959,1987,-9999,In-Channel Modification,Check dam,<a href='https://inowas.com/mar-methods/recharge-dams/' target='_blank'>Recharge dams</a>,River water,Agricultural,Maximize Natural Storage,"Glendenning, C. J., and R. W. Vervoort. 2010. Hydrological Impacts of Rainwater Harvesting (RWH) in a Case Study Catchment: The Arvari River, Rajasthan, India. Part 1: Field-Scale Impacts. Agricultural Water Management 98 (2): 331–342. doi:10.1016/j.ag",76.163959 27.264041,27.264041,76.163959,261.2086792
477,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a71,771,Fazenda Baixa Verde,South America,Brasil,-8.916656,-44.7091,-9999,-9999,In-Channel Modification,Subsurface Dam,<a href='https://inowas.com/mar-methods/subsurface-dams/' target='_blank'>Subsurface dams</a>,River water,Agricultural,Maximize Natural Storage,"<a href='http://www.aba-agroecologia.org.br/revistas/index.php/cad/article/view/15261' target='_blank'>da Silva, M. S. L., A. H. R. C. de Araújo, G. B. Ferreira, T. J. F. Cunha, and M. B. de O. Neto. 2013. Barragem subterrânea: contribuindo para a segu",-53.625756,0,0,220.5833282
478,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a72,433,Böckinger Wiesen,Europe,Germany,49.129,9.165,-9999,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),Lake water,Domestic,Water Quality Management,"Furrer, R., Fleig, M., Brauch, H.J., 2000. Wasserförderung und -aufbereitung im Rheineinzugsgebiet. Rheinthemen 2.",9.165 49.129,49.129,9.165,491.6373291
479,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a73,1331,Makauri Aquifer Managed Aquifer Recharge Trial,Oceania,New Zealand,-38.61044,177.9196,2017,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,River water,Agricultural,Physical Aquifer Management,<a href='http://www.gdc.govt.nz/videos-on-mar-project/' target='_blank'>http://www.gdc.govt.nz/videos-on-mar-project/</a>,177.9196 -38.61044,0,0,
480,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a74,385,Blagnac,Europe,France,43.63602113,1.389836355,1974,2003,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),River water,Environmental,Physical Aquifer Management,"<a href='http://infoterre.brgm.fr/rapports/RP-61821-FR.pdf' target='_blank'>Casanova J., Cagnimel M., Devau N., Pettenati M., Stollsteiner Ph. (2012)  Recharge artificielle des eaux souterraines : état de l’art et perspectives. Rapport final. BRGM/RP-",1.38983635472839 43.6360211277966,43.63602113,1.389836355,365.2739868
481,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a75,456,Schmarsow,Europe,Germany,53.47,13.929,-9999,-9999,Induced Bank Filtration,Bank filtration,<a href='https://inowas.com/mar-methods/induced-bank-filtration/' target='_blank'>River/lake bank filtration</a><br><a href='https://inowas.com/mar-methods/dune-filtration/' target='_blank'>Dune filtration</a>,River water,Domestic,Water Quality Management,Personal communication,13.929 53.47,53.47,13.929,
482,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a76,381,Jäniksenlinna,Europe,Finland,60.49,24.965,1979,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),Lake water,Domestic,Water Quality Management,"Kortelainen, N.M., Karhu, J.A., 2006. Tracing the decomposition of dissolved organic carbon in artificial groundwater recharge using carbon isotope ratios. Applied Geochemistry 21, 547-562.",24.965 60.49,60.49,24.965,
483,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a77,382,Rusutjärvi,Europe,Finland,60.433,24.982,1997,-9999,Spreading Methods,Excess Irrigation,<a href='https://inowas.com/mar-methods/excess-irrigation/' target='_blank'>Excess irrigation</a>,Lake water,Domestic,Water Quality Management,"Kolehmainen, R.E., Langwaldt, J.H., Puhakka, J.A., 2007. Natural organic matter (NOM) removal and structural changes in the bacterial community during artificial groundwater recharge with humic lake water. Water research 41, 2715-2725.",24.982 60.433,60.433,24.982,
484,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a78,405,Tiefwerder,Europe,Germany,52.52,13.22,1916,-9999,Induced Bank Filtration,Bank filtration,<a href='https://inowas.com/mar-methods/induced-bank-filtration/' target='_blank'>River/lake bank filtration</a><br><a href='https://inowas.com/mar-methods/dune-filtration/' target='_blank'>Dune filtration</a>,River water,Domestic,no data,"<a href='https://www.berlin.de/senuvk/umwelt/wasser/download/wvk2040.pdf' target='_blank'>Möller, K., Burgschweiger, J., 2008. Wasserversorgungskonzept für Berlin  und für das von den BWB versorgte Umland (Entwicklung bis 2040) Berlin.</a>",13.22 52.52,52.52,13.22,
485,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a79,717,Warruwi,Oceania,Australia,-11.662803,133.377581,2002,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Groundwater,Domestic,Maximize Natural Storage,"Haworth, D. 2014. Warruwi ASR Project Review. 1351-14-NAM. AGT Report. Australian Groundwater Technologies Pty Ltd.",133.377581 -11.662803,0,0,709.1613159
486,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a7a,903,Seminole-Brighton,North America,USA,27.078492,-81.118072,-9999,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,no data,no data,no data,<a href='http://141.232.10.32/pm/projects/project_docs/pdp_asr_combined/052808_asr_report/052808_asr_ch2_asr_eis_main_body_final.pdf' target='_blank'>Final Aquifer Storage and Recovery Pilot Project Technical Data Report - Kissimmee River ASR System - Hi,-81.118072 27.078492,27.078492,-81.118072,413.2106628
487,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a7b,376,Riku,Europe,Finland,61.464,24.072,-9999,-9999,Induced Bank Filtration,Bank filtration,<a href='https://inowas.com/mar-methods/induced-bank-filtration/' target='_blank'>River/lake bank filtration</a><br><a href='https://inowas.com/mar-methods/dune-filtration/' target='_blank'>Dune filtration</a>,River water,Domestic,no data,"Grischek, T., Schoenheinz, D., Worch, E., Hiscock, K., 2002. Bank-Filtration in Europe - An overview of Aquifer Conditions and hydraulic Controls, in: Dillon, P. (Ed.), Management of aquifer recharge for sustainabily, p. p. 488.",24.072 61.464,61.464,24.072,
488,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a7c,145,Wohushan Reservoir,Asia,China,36.490536,116.960339,2001,-9999,In-Channel Modification,Check dam,<a href='https://inowas.com/mar-methods/recharge-dams/' target='_blank'>Recharge dams</a>,River water,Ecological,Physical Aquifer Management,"Zhang, W.-J. 2006. Research of the recharge problem in Jinan (in Chinese: 济南泉域回灌补源问题研究). Master thesis, Jinan, China: Jinan University.",116.960339 36.490536,0,0,147.5053406
489,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a7d,750,Achiras del Gato,South America,Argentina,-31.4062,-64.1803,2007,-9999,Rainwater and Run-off Harvesting,Barriers and Bunds,<a href='https://inowas.com/mar-methods/barriers-and-bunds/' target='_blank'>Barriers and bunds</a>,River water,Ecological,Management of Water Distribution Systems,no data,-95.5865,0,0,125.8533325
490,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a7e,1143,Oakes - Large Recharge Test Basin,North America,USA,46.126103,-98.094266,1986,1987,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),River water,Agricultural,no data,"<a href='https://pubs.usgs.gov/wri/1989/4122/report.pdf' target='_blank'>Huff, G. F., and J. D. Wald. 1989. Geochemistry of Artificial-Recharge Tests in the Oakes Aquifer near Oakes, Southeastern North Dakota. 89-4122. Water-Resources Investigations Repo",-98.094266 46.126103,0,0,165.2466736
491,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a7f,604,Eksjö,Europe,Sweden,57.66,14.995,1916,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),Lake water,Domestic,Water Quality Management,"Bowen, H., 1986. Groundwater. Elsevier applied Science Publishers.",14.995 57.66,57.66,14.995,
