Site name,Continent,Country,Latitude,Longitude,MAR type,Influent type,Climate
Airport Shanghai,Asia,China,31.154511,121.804596,Rooftop Rainwater Harvesting,Storm water,Humid
Yavne-3,Asia,Israel,31.853911,34.713885,Infiltration basin,Reclaimed wastewater,Semi-arid
Farm,Asia,China,47.588685,133.51825,Infiltration basin,Storm water,Dry sub-humid
Muttenzer Hard,Europe,Switzerland,47.532,7.7,Surface flooding and ditch-and-furrow,River water,Humid
Paradise Run ASR System,North America,USA,27.21813,-80.960666,Aquifer storage and recovery,River water,Humid
Petersaue + WW Eich,Europe,Germany,50.01,8.264,Bank filtration,River water,Humid
Mosina-Krajkowo,Europe,Poland,52.21203,16.94246,Bank filtration,River water,Humid
Luohe ASR,Asia,China,34.669067,112.479196,Check dam,River water,Dry sub-humid
Delray Beach,North America,USA,26.466666,-80.1,Aquifer storage and recovery,Reclaimed wastewater,Humid
Ordos Plateau,Asia,China,40.073906,109.80943,Infiltration basin,River water,Semi-arid
Barragem subterrânea do Rio Palhano,South America,Brasil,-4.91667,-38.5167,Subsurface Dam,River water,Humid
Lohiluoma,Europe,Finland,62.54552,22.29675,Bank filtration,River water,Humid
Schaffhausen,Europe,Switzerland,47.693,8.63,Bank filtration,River water,Humid
Talbert Gap Seawater Barrier,North America,USA,33.693905,-117.967179,Aquifer storage using wells,Reclaimed wastewater,Semi-arid
N/A,Asia,China,40.073906,109.80943,Aquifer storage using wells,River water,Semi-arid
Sint Jansklooster,Europe,Netherlands,52.68,6.009,Bank filtration,Lake water,Humid
river Guadalquivir floodplain,Europe,Spain,37.04,-6.18,Surface flooding and ditch-and-furrow,River water,Dry sub-humid
Camarillo,North America,USA,34.216016,-119.029333,Aquifer storage and recovery,River water,Semi-arid
Forssa,Europe,Finland,60.81368,23.62099,Bank filtration,Lake water,Humid
Conceição (Barragem Comunitária Manoel Cândido Sobrinho),South America,Brasil,-6.81102,-49.270978,Subsurface Dam,Storm water,Humid
Kikai,Asia,Japan,28.321593,129.970904,Subsurface Dam,Groundwater,Humid
Beenyup/Craigie Groundwater Replenishment Trial,Oceania,Australia,-31.7772582,115.7780548,Aquifer storage and recovery,Reclaimed wastewater,Dry sub-humid
Lower Santa Cruz River Managed Recharge Project – LSCRMRP,North America,USA,32.418597,-111.206253,Infiltration basin,River water,Dry sub-humid
Kale Khosk,Asia,Iran,36.928119,55.490798,Surface flooding and ditch-and-furrow,Storm water,Semi-arid
Tummalur Chevaru,Asia,India,17.15206,78.45741,Check dam,River water,Dry sub-humid
Nizamuddin East Colony,Asia,India,28.589929,77.250827,Rooftop Rainwater Harvesting,Storm water,Humid
Kiindu Dam 4,Africa,Kenia,-1.45665,38.00079,Subsurface Dam,River water,Semi-arid
Cre?pieux-Charmy,Europe,France,45.797,4.905,Bank filtration,River water,Humid
Miller Basin,North America,USA,33.864805,-117.856058,Infiltration basin,River water,Semi-arid
Eaton Spreading Basin,North America,USA,34.123581,-118.081439,Infiltration basin,River water,Semi-arid
Fazenda Queimadas,South America,Brasil,-7.347735,-35.872607,Subsurface Dam,River water,Semi-arid
Fazenda Rosário,South America,Brasil,-10.11667,-39.0667,Subsurface Dam,River water,Dry sub-humid
Mesa Northwest Water Reclamation Plant (NWWRP),North America,USA,33.42888,-111.678445,Infiltration basin,Reclaimed wastewater,Semi-arid
Someren DIZON,Europe,Netherlands,51.385,5.712,Aquifer storage and recovery,River water,Humid
Praski 'Gruba Kaska',Europe,Poland,52.2238,21.0623,Bank filtration,River water,Humid
Tennet Pond Well field,North America,USA,40.425598,-74.335355,Infiltration basin,River water,Humid
Morroa,South America,Colombia,9.332193,-75.307733,Aquifer storage using wells,Storm water,Humid
De Steeg,Europe,Netherlands,51.932,4.878,Bank filtration,River water,Humid
Siebeneichen,Europe,Germany,51.149,13.485,Bank filtration,River water,Humid
Kingswood Golf Club,Oceania,Australia,-37.9834735,145.118597,Aquifer storage and recovery,Storm water,Humid
Jinan,Asia,China,36.611064,116.962778,Rooftop Rainwater Harvesting,Storm water,Dry sub-humid
Tolkewitz,Europe,Germany,51.034,13.824,Bank filtration,River water,Humid
Dagu River,Asia,China,39.829667,116.248785,Surface flooding and ditch-and-furrow,River water,Semi-arid
Arapuá,South America,Brasil,-6.34196,-37.21473,Subsurface Dam,Storm water,Dry sub-humid
University of Jinan,Asia,China,36.616178,116.965843,Rooftop Rainwater Harvesting,Storm water,Dry sub-humid
Indira Gandhi International Airport,Asia,India,28.558582,77.087112,Trenches,Storm water,Humid
José Brasilino Coelho,South America,Brasil,-11.46667,-40.7,Subsurface Dam,River water,Dry sub-humid
Balsamand Regional Research Station,Asia,India,29.070696,75.490966,Aquifer storage and recovery,River water,Semi-arid
BS-3,South America,Brasil,-7.068088,-38.32788,Subsurface Dam,Storm water,Dry sub-humid
Hochkirchen,Europe,Germany,51.424,7.04,Bank filtration,River water,Humid
Solandra,Oceania,Australia,-34.82274,138.686308,Aquifer storage and recovery,Storm water,Semi-arid
Morroa,South America,Colombia,9.332193,-75.307733,Check dam,Storm water,Humid
Ford Foundation,Asia,India,28.592755,77.22261,Rooftop Rainwater Harvesting,Storm water,Humid
Ferraro Quarry,Europe,Italy,45.67428,11.51734,Infiltration basin,River water,Humid
Kiindu Dam 5,Africa,Kenia,-1.45557,38.00053,Subsurface Dam,River water,Semi-arid
Va?sterbotten,Europe,Sweden,65.333,16.516,Infiltration basin,Lake water,Humid
