FID,id,site_name,continent,country,latitude,longitude,year_operation_start,year_shut_down,main_mar_type,specific_mar_type,link_to_documents,influent_source,final_use,main_objective,reference_author_year,wgs84
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1bdb,379,BF Plant Nokia - Maatialaharju,Europe,Finland,61.48072,23.50126,1974,-9999,Induced Bank Filtration,Bank filtration,<a href='https://inowas.com/mar-methods/induced-bank-filtration/' target='_blank'>River/lake bank filtration</a><br><a href='https://inowas.com/mar-methods/dune-filtration/' target='_blank'>Dune filtration</a>,River water,Domestic,Maximize Natural Storage,"Kivimäki, A.L., 2001. Site description Nokia, Finland, Artificial recharge of groundwater, EC project ENV4-CT95-0071, pp. 19-20.",23.50126 61.48072
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1bdc,1149,Sand Hollow Trench,North America,USA,37.128629,-113.374203,2004,2004,Rainwater and Run-off Harvesting,Trenches,<a href='https://inowas.com/mar-methods/trenches/' target='_blank'>Trenches</a>,Groundwater,no data,Physical Aquifer Management,"Heilweil, V. M., and D. E. Watt. 2011. Trench Infiltration for Managed Aquifer Recharge to Permeable Bedrock. Hydrological Processes 25 (1): 141–151. doi:10.1002/hyp.7833",-113.374203 37.128629
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1bdd,242,Ottappalam,Asia,India,10.770063,76.37837,1998,-9999,In-Channel Modification,Subsurface Dam,<a href='https://inowas.com/mar-methods/subsurface-dams/' target='_blank'>Subsurface dams</a>,Groundwater,Agricultural,no data,"<a href='https://www.jstage.jst.go.jp/article/jarq/45/1/45_1_51/_pdf/-char/en' target='_blank'>Ishida, S., T. Tsuchihara, S. Yoshimoto, and M. Imaizumi. 2011. Review: Sustainable Use of Groundwater with Underground Dams. JARQ 45 (1): 51 – 61.</a>",76.37837 10.770063
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1bde,511,T Kromme Gat + De Put,Europe,Netherlands,51.827,4.822,1924,-9999,Induced Bank Filtration,Bank filtration,<a href='https://inowas.com/mar-methods/induced-bank-filtration/' target='_blank'>River/lake bank filtration</a><br><a href='https://inowas.com/mar-methods/dune-filtration/' target='_blank'>Dune filtration</a>,River water,Domestic,Maximize Natural Storage,"Furrer, R., Fleig, M., Brauch, H.J., 2000. Wasserförderung und -aufbereitung im Rheineinzugsgebiet. Rheinthemen 2.",4.822 51.827
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1bdf,367,Sojovice,Europe,Czech Republik,50.216359,14.755827,-9999,-9999,Induced Bank Filtration,Bank filtration,<a href='https://inowas.com/mar-methods/induced-bank-filtration/' target='_blank'>River/lake bank filtration</a><br><a href='https://inowas.com/mar-methods/dune-filtration/' target='_blank'>Dune filtration</a>,River water,no data,no data,"Buzek, F., Kadlecova, R., Knezek, M., 2003. Nitrate Pollution of a Water Resource - 15N and 18O Study of Infiltrated Surface Water, pp. p.197-202.",14.755827 50.216359
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1be0,900,Kissimmee River ASR system (KRARS),North America,USA,27.155194,-80.874917,2009,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,River water,Ecological,Ecological Benefits,<a href='http://141.232.10.32/pm/projects/project_docs/pdp_asr_combined/052808_asr_report/052808_asr_ch2_asr_eis_main_body_final.pdf' target='_blank'>Final Aquifer Storage and Recovery Pilot Project Technical Data Report - Kissimmee River ASR System - Hillsboro ASR System. 2013. South Florida Water Management District. http://141.232.10.32/pm/projects/project_docs/pdp_asr_combined/052808_asr_report/052808_asr_ch2_asr_eis_main_body_final.pdf</a>,-80.874917 27.155194
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1be1,553,Noordhollands Duinreservaat,Europe,Netherlands,52.547,4.621,1974,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),Lake water,Domestic,Ecological Benefits,"Furrer, R., Fleig, M., Brauch, H.J., 2000. Wasserförderung und -aufbereitung im Rheineinzugsgebiet. Rheinthemen 2.",4.621 52.547
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1be2,251,Shingnapur,Asia,India,20.942633,77.489684,1997,-9999,Induced Bank Filtration,Bank filtration,<a href='https://inowas.com/mar-methods/induced-bank-filtration/' target='_blank'>River/lake bank filtration</a><br><a href='https://inowas.com/mar-methods/dune-filtration/' target='_blank'>Dune filtration</a>,River water,no data,Water Quality Management,"<a href='http://wedc.lboro.ac.uk/resources/conference/28/Barde.pdf' target='_blank'>Barde, P. P., and S. C. Asodekar. 2002. Performance Evaluation of Induced Recharge Project. In Sustainable Environmental Sanitation and Water Service, 28th WEDC Conference, Kolkata (Calcutta), India, 2002. Leicestershire, UK: WEDC - Water, Engineering and Development Centre. http://wedc.lboro.ac.uk/resources/conference/28/Barde.pdf</a>",77.489684 20.942633
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1be3,1078,Riverton Heights and Boulevard Park,North America,USA,47.497631,-122.306685,1991,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Tap water,Domestic,Physical Aquifer Management,"<a href='http://www.asrforum.com/picturepages/OperASRUS052404.pdf' target='_blank'>Pyne, R. D. G. 2004. Known Operating ASR Systems in the United States (as of May 2004). ASR Systems LLC. http://www.asrforum.com/picturepages/OperASRUS052404.pdf</a>",-122.306685 47.497631
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1be4,975,Dominguez Gap Spreading Grounds,North America,USA,33.845733,-118.203074,1957,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),River water,no data,Physical Aquifer Management,"<a href='http://www.ladpw.org/wrd/spreadingground/information/facdept.cfm?facinit=15' target='_blank'>Dominguez Gap Spreading Grounds. 2015. County of Los Angeles - Department of Public Works. http://www.ladpw.org/wrd/spreadingground/information/facdept.cfm?facinit=15 (accessed October 18, 2015).</a>",-118.203074 33.845733
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1be5,92,Linkes Tumed-Banne,Asia,China,40.785557,111.863823,2015,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Groundwater,no data,no data,"Yan, Y., R. Yang, X. Wang, F.-G. Yan, and D. Zhang. 2015. Analysis of factors of groundwater recharge in Hohhot (in Chinese: 呼和浩特地区地下水回灌的影响因素分析). Western Resources, 193–195.",111.863823 40.785557
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1be6,396,Verdun-sur-Garonne,Europe,France,43.85389,1.236389,1976,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),River water,Domestic,Water Quality Management,"<a href='http://infoterre.brgm.fr/rapports/RP-61821-FR.pdf' target='_blank'>Casanova J., Cagnimel M., Devau N., Pettenati M., Stollsteiner Ph. (2012)  Recharge artificielle des eaux souterraines : état de l’art et perspectives. Rapport final. BRGM/RP-61821-FR. 99 p., 16 ill., 18 ann.</a>",1.236389 43.85389
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1be7,304,Shitoro,Asia,Japan,34.841013,138.1081,1989,-9999,In-Channel Modification,Subsurface Dam,<a href='https://inowas.com/mar-methods/subsurface-dams/' target='_blank'>Subsurface dams</a>,Groundwater,no data,no data,"<a href='https://www.jstage.jst.go.jp/article/jarq/45/1/45_1_51/_pdf/-char/en' target='_blank'>Ishida, S., T. Tsuchihara, S. Yoshimoto, and M. Imaizumi. 2011. Review: Sustainable Use of Groundwater with Underground Dams. JARQ 45 (1): 51 – 61.</a>",138.1081 34.841013
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1be8,782,Fazenda Sítio Manoel,South America,Brasil,-6.524552,-36.373584,-9999,-9999,In-Channel Modification,Subsurface Dam,<a href='https://inowas.com/mar-methods/subsurface-dams/' target='_blank'>Subsurface dams</a>,River water,Agricultural,Maximize Natural Storage,"<a href='http://www.aba-agroecologia.org.br/revistas/index.php/rbagroecologia/article/view/9304' target='_blank'>da Silva, M. S. L., M. B. de O. Neto, G. B. Ferreira, R. da B. V. Parahyba, T. J. F. Cunha, and V. C. Chaves. 2009. Caracterização do solo em barragens subterrâneas no Estado da Paraíba. Revista Brasileira De Agroecologia 4 (2). http://www.aba-agroecologia.org.br/revistas/index.php/rbagroecologia/article/view/9304</a>",-42.898136
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1be9,1079,Oak Creek,North America,USA,42.874693,-87.92191,2004,2011,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Lake water,no data,Maximize Natural Storage,"<a href='http://www.asrforum.com/picturepages/OperASRUS052404.pdf' target='_blank'>Pyne, R. D. G. 2004. Known Operating ASR Systems in the United States (as of May 2004). ASR Systems LLC. http://www.asrforum.com/picturepages/OperASRUS052404.pdf</a>",-87.92191 42.874693
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1bea,255,Surya Vihar Appartments,Asia,India,28.517881,77.077429,2004,-9999,Rainwater and Run-off Harvesting,Rooftop Rainwater Harvesting,<a href='https://inowas.com/mar-methods/rooftop-rainwater-harvesting/' target='_blank'>Rooftop rainwater harvesting</a>,Storm water,Domestic,Maximize Natural Storage,"<a href='http://www.cseindia.org/surya-vihar-appartments-1993' target='_blank'>Centre for Science and Environment - CSE. 2014. Surya Vihar Appartments. Urban Rainwaterharvesting. http://www.cseindia.org/surya-vihar-appartments-1993 (accessed September 1, 2014).</a>",77.077429 28.517881
