Site name,Continent,Country,Latitude,Longitude,MAR objective,P-ET
"Xi'an, Yanta",Asia,China,34.226908,108.984018,Physical Aquifer Management,86.19999695
"RRS, Sirsa",Asia,India,29.533176,75.017002,Water Quality Management,187.4593353
Sawpit Spreading Grounds,North America,USA,34.160229,-117.990874,Physical Aquifer Management,60.72733307
Shanghai,Asia,China,31.187937,121.452034,Water Quality Management,399.7593384
Brousse-le-Château,Europe,France,43.99756015,2.625504942,Physical Aquifer Management,365.2739868
Microbacia do Córrego Fundo,South America,Brasil,-7.476338,-47.84705,Maximize Natural Storage,628.9293213
Vessy,Europe,Switzerland,46.187,6.166,Water Quality Management,606.5079956
Lagoa do CTG,South America,Brasil,-5.87475,-35.1882,Physical Aquifer Management,104.8533325
N/A,Asia,China,34.275475,108.815648,Physical Aquifer Management,86.19999695
EPAGRI – Estação Experimental,South America,Brasil,-27.42058,-49.648521,Water Quality Management,785.4373169
Lodhi Garden,Asia,India,28.592926,77.219645,Ecological Benefits,261.2086792
San Gabriel River (Montebello Forebay),North America,USA,33.989036,-118.075617,Physical Aquifer Management,60.72733307
"Shunping, Baoding, Hebei",Asia,China,38.895246,115.259762,Physical Aquifer Management,80.96733093
Tumbleweed Park Recharge Facility,North America,USA,33.272986,-111.828048,no data,42.06733322
"Shenbei, Shenyang",Asia,China,42.154363,123.414125,Water Quality Management,210.5306702
Santa Anita Spreading Grounds,North America,USA,34.166973,-118.021551,Physical Aquifer Management,60.72733307
Carracillo,Europe,Spain,41.31,-4.36,Water Quality Management,276.4819946
Malham,Asia,Saudi Arabia,25.143502,46.240481,Physical Aquifer Management,74.47133636
Windhoek,Africa,Namibia,-22.561459,17.07356,Maximize Natural Storage,50.48733521
Monto Weir (Three Moon Creek),Oceania,Australia,-24.858364,151.10663,Maximize Natural Storage,156.043335
Funxi,Asia,China,34.212734,108.73481,Physical Aquifer Management,86.19999695
Ely Basins,North America,USA,34.034876,-117.613444,no data,59.77133179
Lujiazui,Asia,China,31.224325,121.508677,Physical Aquifer Management,399.7593384
Grisolles,Europe,France,43.82889,1.296667,Water Quality Management,365.2739868
Warner Basin,North America,USA,33.854048,-117.831646,no data,59.77133179
Sulaibiya SU-10,Asia,Kuwait,29.282966,47.816369,no data,34.03066635
Comunidade Riacho Verde (Owner: Sebastião M. de Lima),South America,Brasil,-7.1541,-37.1334,Maximize Natural Storage,176.4686737
Cornedo Vicentino A,Europe,Italy,45.615,11.337,no data,478.7139893
Max Amber Sportsfield/Torrens Valley Sportsfield,Oceania,Australia,-34.869602,138.693423,Ecological Benefits,12.48933315
Bau Noi/Hong Phong,Asia,Vietnam,11.051604,108.312653,Physical Aquifer Management,1343.724609
Rusovce,Europe,Slovakia,48.06225,17.14485,Maximize Natural Storage,316.5213318
Ma Ma Creek Weir  (Lockyer Valley),Oceania,Australia,-27.656814,152.161344,Maximize Natural Storage,328.697998
Tsunekami,Asia,Japan,35.637265,135.820499,Physical Aquifer Management,1042.994629
N/A,Asia,China,38.476994,102.286657,Maximize Natural Storage,21.34000015
Dong Zhu Ying Cun Guangrao Xian,Asia,China,37.039041,118.479667,Physical Aquifer Management,182.8006592
Chesapeake,North America,USA,36.738493,-76.291915,Maximize Natural Storage,466.002655
Khlidia,Africa,Tunesia,36.623334,10.201305,Physical Aquifer Management,142.8813324
Bhaonta (Sankara),Asia,India,27.328641,76.224669,Maximize Natural Storage,261.2086792
Fazenda Catolé de Queimadas - Dona Dora,South America,Brasil,-7.34714,-35.887999,Maximize Natural Storage,176.4686737
Assentamento Pedro Henrique - BS-3 (Owner: Fancisco Belchior dos Santos),South America,Brasil,-6.78083,-35.75722,Maximize Natural Storage,104.8533325
Aberdeen,North America,USA,40.424025,-74.218067,no data,639.166687
Zhabei Qu,Asia,China,31.241862,121.458563,Physical Aquifer Management,399.7593384
Hassayampa Recharge Facility,North America,USA,33.935532,-112.698988,no data,21.87199974
Fazenda Queimada dos Loiolas,South America,Brasil,-24.0447091,-48.916656,Maximize Natural Storage,503.1633301
Santiago Basins,North America,USA,33.806726,-117.806409,no data,7.772666454
"Anxin, Baoding",Asia,China,38.960491,116.033721,Maximize Natural Storage,80.96733093
